"Schools Name","Address","Address2 ","City","City 2","Zip","Zip 2","Area","Title","Principal","First","Last","Email","Phone","Fax","Grades"
"The New Millennium Academy","3427 Adams Ave.","3427 Adams Ave.","Saginaw","Saginaw","48602","48602","Saginaw","Rev.","Sandra Gonzales","Sandra","Gonzales","newmillennium@astromail.com","9894847363","9894014504","KG-Part,1-12, GenEd, PK"
"The Pathfinder School, Inc.","11930 SOUTH WEST BAY SHORE DR","11930 SOUTH WEST BAY SHORE DR","TRAVERSE CITY","TRAVERSE CITY","49684-5258","49684-5258","Traverse City","Mr.","Karl Sikkenga","Karl","Sikkenga","ksikkenga@thepathfinderschool.org","2319953800","2319953850","KG-Part, 1-8, GenEd, PK"
"Traverse Bay Christian School","1895 KEYSTONE RD N","1895 KEYSTONE RD N","TRAVERSE CITY","TRAVERSE CITY","49686-8101","49686-8101","Traverse City","Mr.","Jason Harding","Jason","Harding","jharding@traversebay.org","2319299504","2319294237","KG-Part, 1-6, GenEd"
"Traverse City Christian School","753 EMERSON RD","753 EMERSON RD","TRAVERSE CITY","TRAVERSE CITY","49686-8815","49686-8815","Traverse City","Mr.","Tony Clymer","Tony","Clymer","tclymer@tcsabres.org","2319291747","2319291831","KG-Part,1-12, GenEd, PK"
"Traverse City SDA School","2055B 4 MILE RD N","2055B 4 MILE RD N","TRAVERSE CITY","TRAVERSE CITY","49686-9144","49686-9144","Traverse City","Mr.","Steven Champion","Steven","Champion","schampionus@yahoo.com","2319474640","5173161559","1-8, GenEd"
"Tri-City SDA School","3955 KOCHVILLE RD","3955 KOCHVILLE RD","SAGINAW","SAGINAW","48604-9227","48604-9227","Saginaw","Ms.","Connie Hickman","Connie","Hickman","bdavis@misda.org","9897902508","5173161559","KG,1-8, GenEd"
"Trinitas Classical Association","1465 Three Mile Road, NW","1465 Three Mile Road, NW","Grand Rapids","Grand Rapids","49544","49544","Kenowa Hills","Mr.","Peter Marth","Peter","Marth","pmarth@trinitasclassical.org","6168556518","6168556962","KG-Part,1-8, GenEd"
"Trinity Ev Lutheran School","115 EAST MONROE ST","115 EAST MONROE ST","BANGOR","BANGOR","49013-1473","49013-1473","Bangor (Van Buren)","Mr.","Kevin Lemke","Kevin","Lemke","kev2021@yahoo.com","2694277102",,"KG-Part,1-8, GenEd, PK"
"Trinity Ev Lutheran School","2515 BROADWAY ST","2515 BROADWAY ST","BAY CITY","BAY CITY","48708-8401","48708-8401","Bay City","Mr.","Ryan Hill","Ryan","Hill","ryanrhill@sbcglobal.net","9898942092",,"KG-Part, 1-8, GenEd, PK, SpecEd"
"Trinity Lutheran Monitor","20 EAST SALZBURG RD","20 EAST SALZBURG RD","BAY CITY","BAY CITY","48706-9712","48706-9712","Bay City","Mrs.","Janet Pickelmann","Janet","Pickelmann","jpickelmann@trinitymonitor.org","9896624891","9896626173","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","315 SCOTT ST","315 SCOTT ST","MONROE","MONROE","48161-2132","48161-2132","Monroe","Ms.","Cindy Lucas","Cindy","Lucas","clucas@trinitylutheranmonroe.org","7342411160","7342416293","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","1003 SOUTH MAPLE ST","1003 SOUTH MAPLE ST","TRAVERSE CITY","TRAVERSE CITY","49684-4025","49684-4025","Traverse City","Mr.","Daniel Dockery","Daniel","Dockery","ddockery@tctrinity.org","2319462721","2319464796","KG-Part,1-8, GenEd, PK"
"Trinity Lutheran School","725 PINE ST","725 PINE ST","PAW PAW","PAW PAW","49079-1248","49079-1248","Paw Paw",,"Deanna Hindenack","Deanna","Hindenack","deanna.hindenach@lsportal.net","2696575921","2696573378","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","9858 NORTH ST","9858 NORTH ST","REESE","REESE","48757-9544","48757-9544","Reese","Ms.","Jane Dohrmann","Jane","Dohrmann","jane_dtrinity@yahoo.com","9898684501","9898683702","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","38900 HARPER AVE","38900 HARPER AVE","CLINTON TOWNSHIP","CLINTON TOWNSHIP","48036-3222","48036-3222","L'Anse Creuse","Mr.","Julian Petzold","Julian","Petzold","jpetzold@trinityct.org","5864688511","5864681226","KG-Part, 1-8, GenEd"
"Trinity Lutheran School","139 WEST CHURCH AVE","139 WEST CHURCH AVE","REED CITY","REED CITY","49677-1313","49677-1313","Reed City","Ms.","Sherry Prange","Sherry","Prange","ruma_sp@yahoo.com","2318325186","2318325186","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","1517 10TH ST","1517 10TH ST","PORT HURON","PORT HURON","48060-5814","48060-5814","Port Huron","Ms.","Heather Volkman","Heather","Volkman","school@tlc1.org","8109842501","8109823906","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","1401 HARDING ST","1401 HARDING ST","CONKLIN","CONKLIN","49403-8716","49403-8716","Sparta","Mr.","Ivan Beethe","Ivan","Beethe","school@trinitylutheranconklin.org","6168992152","6168991112","KG-Part, 1-5, GenEd, PK"
"Trinity Lutheran School","45160 VAN DYKE AVE","45160 VAN DYKE AVE","UTICA","UTICA","48317-5578","48317-5578","Utica","Mr.","Thomas Wrege","Thomas","Wrege","schooloffice@trinityutica.com","5867314490","5867314490","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","4900 MCCAIN RD","4900 MCCAIN RD","JACKSON","JACKSON","49201-8959","49201-8959","Western","Mr.","Lee Erfourth","Lee","Erfourth","teacherlee@modempool.com","5177876828","5177509945","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","613 COURT ST","613 COURT ST","SAINT JOSEPH","SAINT JOSEPH","49085-1305","49085-1305","St. Joseph","Mr.","Todd Baringer","Todd","Baringer","todd.baringer@discovertrinity.org","2699833056","2699830037","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","420 OAK ST","420 OAK ST","MANISTEE","MANISTEE","49660-1623","49660-1623","Manistee","Mr.","David Moehring","David","Moehring","trinityk8@jackpine.net","2317238700","2317239755","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","406 SOUTH LAKEVIEW AVE","406 SOUTH LAKEVIEW AVE","STURGIS","STURGIS","49091-1953","49091-1953","Sturgis","Mr.","Paul Kosman","Paul","Kosman","trinityl@kresanet.org","2696514245","2696511422","KG-Part, 1-8, GenEd, PK"
"Trinity Lutheran School","9123 GEORGE AVE","9123 GEORGE AVE","BERRIEN SPRINGS","BERRIEN SPRINGS","49103-1622","49103-1622","Berrien Springs","Mrs.","Deborah Wedde","Deborah","Wedde","trucks3904@cs.com","2694731811","2694732322","KG-Part, 1-8, GenEd, PK"
"Tri-Unity Christian High School","2104 44TH ST SW","2104 44TH ST SW","WYOMING","WYOMING","49519-4255","49519-4255","Grandville","Ms.","Debra Blanker","Debra","Blanker","dblanker@tucs.org","6165326766","6165306384","7-12, GenEd"
"Tri-Unity Christian Lower Elementary School","5353 WILSON AVE SW","5381 Wilson Ave SW","WYOMING","Wyoming","49418-9703","49418","Grandville","Ms.","Deb Blanker","Deb","Blanker","debb@tucs.org","6165328827","6165328827","KG-Part,1-2, GenEd,PK"
"Tri-Unity Christian Upper Elementary/Middle School","2222 44TH ST SW","2222 44TH ST SW","WYOMING","WYOMING","49519-4257","49519-4257","Grandville","Ms.","Debra Blanker","Debra","Blanker","tcs@tucs.org","6165326310","6165306384","3-8, GenEd"
"Troy Adventist Academy","2777 CROOKS RD","2777 CROOKS RD","TROY","TROY","48084-4705","48084-4705","Troy","Ms.","Rosemary Avila","Rosemary","Avila","bdavis@misda.org","2486493122","5173161559","KG-Part, 1-8, GenEd"
"United Christian School","29205 FLORENCE ST","29205 FLORENCE ST","GARDEN CITY","GARDEN CITY","48135-2744","48135-2744","Garden City","Rev.","Dan Reaves","Dan","Reaves","reaves_dan@yahoo.com","7345226487",,"KG-Part, 1-12, GenEd"
"Unity Christian High School","3487 OAK ST","3487 OAK ST","HUDSONVILLE","HUDSONVILLE","49426-1005","49426-1005","Hudsonville","Mr.","Jack Postma","Jack","Postma","jpostma@unitychristian.org","6166691820","6166695760","9-12, GenEd"
"University of Detroit Jesuit","8400 SOUTH CAMBRIDGE AVE","8400 SOUTH CAMBRIDGE AVE","DETROIT","DETROIT","48221-1603","48221-1603","Detroit","Mr.","Anthony Trudel","Anthony","Trudel","anthony.trudel@uofdjesuit.org","3139272331",,"7-12, GenEd"
"University School-Andrews Academy","8833 Garland Ave","8833 GARLAND AVE","Berrien Springs","BERRIEN SPRINGS","49104-1313","49104-1313","Berrien Springs","Mr.","Robert Overstreet","Robert","Overstreet","bdavis@misda.org","2694713138","5173161559","9-12, GenEd"
"University-Liggett School","1045 COOK RD","1045 COOK RD","GROSSE POINTE WOODS","GROSSE POINTE WOODS","48236-2509","48236-2509","Grosse Pointe","Dr.","Joseph Healey","Joseph","Healey","jhealey@uls.org","3138844444","3138841775","KG-Part, 1-12, GenEd, PK"
"Upland Hills School","2575 INDIAN LAKE RD","2575 INDIAN LAKE RD","OXFORD","OXFORD","48370-3111","48370-3111","Lake Orion","Ms.","Terry Gardner","Terry","Gardner","info@uplandhills.org","2486932878","2486934317","KG-Part, 1-8, GenEd, PK"
"Valley Lutheran High School","3560 MCCARTY RD","3560 MCCARTY RD","SAGINAW","SAGINAW","48603-2239","48603-2239","Saginaw Township","Mr.","John Brandt","John","Brandt","jbrandt@vlhs.com","9897901676","9897901680","9-12, GenEd"
"Veritas Christi High School","410 S. Maple Road","410 S. Maple Road","Ann Arbor","Ann Arbor","48103","48103","Ann Arbor","Mr.","Richard Nye","Richard","Nye","rnye@veritaschristi.com","7342131300",,"9-10"
"Village SDA Elementary School","409 WEST MARS ST","409 WEST MARS ST","BERRIEN SPRINGS","BERRIEN SPRINGS","49103-1172","49103-1172","Berrien Springs","Ms.","Wendy Baldwin","Wendy","Baldwin","bdavis@misda.org","2694735121","5173161559","KG-Part, 1-8, GenEd, PK"
"Vineyard Academy","8510 M-89, PO Box 102","8510 M-89","Richland","RICHLAND","49083-9575","49083-8205","Gull Lake","Mrs.","Carrie Jewett","Carrie","Jewett","adminstration@vineyardacademy.org","2696238652","2696297246","KG-Part,1-9, GenEd, PK"
"Waldorf School Assn. of Michigan","2555 BURNS ST","2555 BURNS ST","DETROIT","DETROIT","48214-1864","48214-1864","Detroit","Ms.","Linda Brooks","Linda","Brooks","administration@detroitwaldorf.org","3138220300","3138224030","KG-Part, 1-8, GenEd, PK"
"Walnut Corner School","7634 W KINSEL HWY","7655 WEST KINSEL HWY","VERMONTVILLE","VERMONTVILLE","49096-9540","49096-9540","Maple Valley","Mr.","Jerry Mast","Jerry","Mast","none@none.com","5177261393",,"1-8, GenEd"
"Warren SDA Junior Academy","12100 EAST 13 MILE RD","12100 EAST 13 MILE RD","WARREN","WARREN","48093-3025","48093-3025","Warren Consolidated","Ms.","Karen Gotshall","Karen","Gotshall","bdavis@misda.org","5865734740","5173161559","1-8, GenEd"
"Warren Woods Christian School","14000 EAST 13 MILE RD","14000 EAST 13 MILE RD","WARREN","WARREN","48088-5877","48088-5877","Warren Woods","Ms.","Beth Denhart","Beth","Denhart","bdenhart@wwchristianschool.org","5867728787","5867729078","KG-Part, 1-8, GenEd"
"Washtenaw Christian Academy","7200 MOON RD","7200 MOON RD","SALINE","SALINE","48176-9826","48176-9826","Saline","Mr.","Mark Wever","Mark","Wever","mwever@washtenawchristian.org","7344297733","7349448343","KG-Part, 1-12, GenEd, PK"
"Waterbrook Christian Academy","8031 E. Court Street","8031 E. Court Street","Davison","Davison","48423","48423","Davison","Mr.","Dean Bowen","Dean","Bowen","dbowen@waterbrookca.org","8106539701","8104125700","KG,1-9, GenEd, PK"
"Waterford Adventist School","5725 PONTIAC LAKE RD","5725 PONTIAC LAKE RD","WATERFORD","WATERFORD","48327-2116","48327-2116","Waterford","Ms.","Frances Robinson","Frances","Robinson","bdavis@misda.org","2486826262","5173161559","1-8, GenEd"
"West Catholic High School","1801 BRISTOL AVE NW","1801 BRISTOL AVE NW","GRAND RAPIDS","GRAND RAPIDS","49504-2705","49504-2705","Grand Rapids","Ms.","Cynthia Kneibel","Cynthia","Kneibel","cynthiakneibel@grcss.org","6162335900","6164534320","9-12, GenEd"
"West Highland Christian Academy","1116 SOUTH HICKORY RIDGE RD","1116 SOUTH HICKORY RIDGE RD","MILFORD","MILFORD","48380-1510","48380-1510","Huron Valley","Mrs.","Jan Grimm","Jan","Grimm","whca.k12@gmail.com","2488876698","2488874645","KG-Part, 1-12, GenEd"
"West Michigan Lutheran High School","601 36TH ST SW","601 36th Street SW","WYOMING","Wyoming","49509-4094","49509","Godwin Heights","Mr.","Dwight Anderson","Dwight","Anderson","danderson@wmlhs.org","6164552200","6164552211","9-12, GenEd"
"West Shore Lutheran School","3225 ROOSEVELT RD","3225 ROOSEVELT RD","MUSKEGON","MUSKEGON","49441-3909","49441-3909","Mona Shores","Mr.","Brad Feenstra","Brad","Feenstra","brad04_92@yahoo.com","2317551048","2317556942","KG-Part, 1-8, GenEd, PK"
"West Side Christian School","955 WESTEND AVE NW","955 WESTEND AVE NW","GRAND RAPIDS","GRAND RAPIDS","49504-3846","49504-3846","Grand Rapids","Mr.","Vernon Groenendyk","Vernon","Groenendyk","vgroenendyk@wscsgr.org","6164533925","6164534150","KG-Part, 1-8, GenEd, PK"
"Western Michigan Christian High School","455 EAST ELLIS RD","455 EAST ELLIS RD","MUSKEGON","MUSKEGON","49441-5617","49441-5617","Mona Shores","Mr.","Doug Doty","Doug","Doty","wmc@wmchs.net","2317999644","6164038163","9-12, GenEd"
"Westland Christian Academy","34033 PALMER RD","34033 PALMER RD","WESTLAND","WESTLAND","48186-4680","48186-4680","Wayne-Westland","Ms.","Laura Enersen","Laura","Enersen","westlandchracad@aol.com","7343263581","7343263352","3-12, GenEd"
"Willis Baptist Academy","8687 BUNTON RD","8687 Bunton Rd","WILLIS","Willis","48191-9740","48191-9740","Lincoln","Mr.","Timothy Johnson","Timothy","Johnson","mitjohnson@comcast.net","7344612115","7344612564","KG-Part,1-4,6,8-10, GenEd"
"Wilson SDA School","N13925 COUNTY ROAD 551","13925 COUNTY ROAD 551","WILSON","WILSON","49896-9765","49896","Carney-Nadeau","Principal","Casey Hann","Casey","Hann","bdavis@misda.org","9066392566","5173161559","1-8, GenEd"
"Woodland SDA School","128 EAST BARNHART RD","128 EAST BARNHART RD","COLDWATER","COLDWATER","49036-9209","49036-9209","Coldwater","Mrs.","Catherine Buell","Catherine","Buell","bdavis@misda.org","5172784650","5173161559","1-7, 10, GenEd"
"Yeshiva Beth Yehudah School","15751 LINCOLN DR","15751 LINCOLN DR","SOUTHFIELD","SOUTHFIELD","48076-7215","48076-7215","Southfield","Mrs.","Susan Colbert","Susan","Colbert","boys@yby.org","2485579380",,"1-8, GenEd, PK"
"Yeshivah Gedolah High School","24600 GREENFIELD RD","24600 GREENFIELD RD","OAK PARK","OAK PARK","48237-1544","48237-1544","Oak Park","Rabbi","Paul Rushnawitz","Paul","Rushnawitz","dkossowsky@gmail.com","2489683360","2489688613","9-12, GenEd"
"Yeshivas Darchei Torah","21550 WEST 12 MILE RD","21550 WEST 12 MILE RD","SOUTHFIELD","SOUTHFIELD","48076-5501","48076-5501","Southfield","Ms.","Sharon Kahn","Sharon","Kahn","ydtghs@gmail.com","2489481080","2487500079","KG-Part, 1-12, GenEd, PK"
"Zeeland Christian School","334 WEST CENTRAL AVE","334 WEST CENTRAL AVE","ZEELAND","ZEELAND","49464-1502","49464-1502","Zeeland","Mr.","William Van Dyk","William","Van Dyk","brininge@zcs.org","6167722609","6167722609","KG-Part, 1-8, GenEd, PK, SpecEd"
"Zion Christian School","7555 BYRON CENTER AVE SW","7555 BYRON CENTER AVE SW","BYRON CENTER","BYRON CENTER","49315-8953","49315-8953","Byron Center","Mr.","Jason Heerema","Jason","Heerema","office@zionchristian.net","6168789472",,"KG-Part, 1-12, GenEd, PK"
"Zion Evangelical Lutheran School","796 HAMPTON ST","796 HAMPTON ST","CHESANING","CHESANING","48616-1622","48616-1622","Chesaning Union",,"Lisa Borucki","Lisa","Borucki","tigerpaws@charterinternet.com","9898452377",,"KG-Part, 1-8, GenEd, PK, SpecEd"
"Zion Lutheran Beaver School","1557 SEIDLERS RD","1557 SEIDLERS RD","AUBURN","AUBURN","48611-9732","48611-9732","Bay City","Mr.","Kevin Meyer","Kevin","Meyer","kmeyer@hbci.com","9896624264","9896627052","KG-Part, 1-8, GenEd"
"Zion Lutheran School","1707 SOUTH KIESEL ST","1707 SOUTH KIESEL ST","BAY CITY","BAY CITY","48706-5241","48706-5241","Bay City","Ms.","Janet LaRocque","Janet","LaRocque","jelarocque@zionlth.org","9898935793","9898934633","KG-Part, 1-8, GenEd, PK"
"Zion Lutheran School","299 GARDEN ST","299 GARDEN ST","HARBOR BEACH","HARBOR BEACH","48441-1118","48441-1118","Harbor Beach","Mrs.","Cynthia Brown","Cynthia","Brown","principal@zionlcs.com","9894793615","9894796551","KG-Part, 1-8, GenEd, PK"
"Zion Lutheran School","186 COLE RD","186 COLE RD","MONROE","MONROE","48162-4104","48162-4104","Monroe","Mr.","Samuel Kleinke","Samuel","Kleinke","skleinke@zionmonroe.org","7342421378",,"KG-Part, 1-8, GenEd, PK"

